Name,Lead,Non-Lead,Unknown,total_points,known_points,pct_lead_total,pct_nonlead_total,pct_unknown,pct_lead_known,pct_nonlead_known,avg_year_built,count_year_samples,avg_house_age
South Garden,0,93,808,901,93,0.0,0.10321864594894561,0.8967813540510544,0.0,1.0,1963.8420467185763,899,61.157953281423715
Southampton,0,82,334,416,82,0.0,0.1971153846153846,0.8028846153846154,0.0,1.0,1961.475845410628,414,63.524154589372074
Southern Barton Heights,12,97,311,420,109,0.02857142857142857,0.23095238095238096,0.7404761904761905,0.11009174311926606,0.8899082568807339,1943.578947368421,418,81.42105263157896
Southwood,0,40,349,389,40,0.0,0.10282776349614396,0.897172236503856,0.0,1.0,1966.1855670103093,388,58.81443298969066
Stadium,27,15,205,247,42,0.10931174089068826,0.06072874493927125,0.8299595141700404,0.6428571428571429,0.35714285714285715,1940.3142857142857,245,84.68571428571431
Stonewall Court,4,21,349,374,25,0.0106951871657754,0.05614973262032086,0.9331550802139037,0.16,0.84,1939.7085561497327,374,85.29144385026734
Stony Point,0,174,155,329,174,0.0,0.5288753799392097,0.47112462006079026,0.0,1.0,2004.4782608695652,322,20.521739130434753
Stratford Hills,0,295,1325,1620,295,0.0,0.18209876543209877,0.8179012345679012,0.0,1.0,1962.9807572936065,1611,62.01924270639347
Swansboro,14,264,945,1223,278,0.011447260834014717,0.21586263286999183,0.7726901062959934,0.050359712230215826,0.9496402877697842,1957.752508361204,1196,67.24749163879596
Swansboro West,17,60,678,755,77,0.022516556291390728,0.07947019867549669,0.8980132450331125,0.22077922077922077,0.7792207792207793,1943.3262316910786,751,81.67376830892135
Swanson,0,120,171,291,120,0.0,0.41237113402061853,0.5876288659793815,0.0,1.0,1975.1218637992831,279,49.87813620071688
The Diamond,0,188,315,503,188,0.0,0.37375745526838966,0.6262425447316103,0.0,1.0,1950.6072874493927,494,74.39271255060726
The Fan,529,470,4159,5158,999,0.10255913144629701,0.09112058937572702,0.806320279177976,0.5295295295295295,0.47047047047047047,1917.4465604352895,5146,107.55343956471052
The Museum District,296,242,2277,2815,538,0.10515097690941386,0.08596802841918295,0.8088809946714032,0.550185873605948,0.44981412639405205,1929.784746970777,2806,95.21525302922305
Three Chopt,4,201,1284,1489,205,0.002686366689053056,0.13498992612491606,0.8623237071860309,0.01951219512195122,0.9804878048780488,1947.7942583732058,1463,77.20574162679418
Union Hill,29,152,502,683,181,0.0424597364568082,0.2225475841874085,0.7349926793557833,0.16022099447513813,0.8397790055248618,1928.9865269461077,668,96.01347305389231
University of Richmond,0,2,160,162,2,0.0,0.012345679012345678,0.9876543209876543,0.0,1.0,1968.6751592356688,157,56.32484076433116
Upper Shockoe Valley,0,41,72,113,41,0.0,0.36283185840707965,0.6371681415929203,0.0,1.0,1948.6363636363637,110,76.36363636363626
VCU,10,126,243,379,136,0.026385224274406333,0.3324538258575198,0.6411609498680739,0.07352941176470588,0.9264705882352942,1924.1138211382113,369,100.88617886178872
Virginia Union,11,61,498,570,72,0.01929824561403509,0.10701754385964912,0.8736842105263158,0.1527777777777778,0.8472222222222222,1941.5239786856127,563,83.47602131438725
Walmsley,0,139,333,472,139,0.0,0.2944915254237288,0.7055084745762712,0.0,1.0,1968.2666666666667,465,56.73333333333335
Warwick,0,87,307,394,87,0.0,0.22081218274111675,0.7791878172588832,0.0,1.0,1971.7328244274809,393,53.267175572519136
Washington Park,0,59,362,421,59,0.0,0.14014251781472684,0.8598574821852731,0.0,1.0,1955.1650717703349,418,69.83492822966514
Westhampton,3,53,763,819,56,0.003663003663003663,0.06471306471306472,0.9316239316239316,0.05357142857142857,0.9464285714285714,1947.7723880597016,804,77.2276119402984
Westlake Hills,0,78,350,428,78,0.0,0.1822429906542056,0.8177570093457944,0.0,1.0,1966.1820330969267,423,58.817966903073284
Westover,0,85,869,954,85,0.0,0.08909853249475891,0.910901467505241,0.0,1.0,1960.551797040169,946,64.44820295983095
Westover Hills,4,77,474,555,81,0.007207207207207207,0.13873873873873874,0.8540540540540541,0.04938271604938271,0.9506172839506173,1950.1570397111914,554,74.84296028880863
Westover Hills West,0,56,199,255,56,0.0,0.2196078431372549,0.7803921568627451,0.0,1.0,1970.8196078431372,255,54.18039215686281
Whitcomb,1,35,601,637,36,0.0015698587127158557,0.054945054945054944,0.9434850863422292,0.027777777777777776,0.9722222222222222,1957.860979462875,633,67.1390205371249
Willow Oaks,0,44,193,237,44,0.0,0.18565400843881857,0.8143459915611815,0.0,1.0,1964.7721518987341,237,60.22784810126586
Willow lawn,2,49,484,535,51,0.003738317757009346,0.09158878504672897,0.9046728971962616,0.0392156862745098,0.9607843137254902,1951.8220973782772,534,73.17790262172275
Wilton,1,67,373,441,68,0.0022675736961451248,0.15192743764172337,0.8458049886621315,0.014705882352941176,0.9852941176470589,1955.0765661252901,431,69.92343387470987
Windsor,0,1,70,71,1,0.0,0.014084507042253521,0.9859154929577465,0.0,1.0,1951.4788732394366,71,73.52112676056345
Windsor Farms,2,48,569,619,50,0.0032310177705977385,0.07754442649434572,0.9192245557350566,0.04,0.96,1949.8013136288998,609,75.19868637110017
Woodhaven,0,28,532,560,28,0.0,0.05,0.95,0.0,1.0,1955.3089285714286,560,69.69107142857138
Woodland Heights,43,100,709,852,143,0.05046948356807512,0.11737089201877934,0.8321596244131455,0.3006993006993007,0.6993006993006993,1935.3484486873508,838,89.65155131264919
Woodville,4,32,170,206,36,0.019417475728155338,0.1553398058252427,0.8252427184466019,0.1111111111111111,0.8888888888888888,1956.5273631840796,201,68.4726368159204
Worthington,0,58,423,481,58,0.0,0.12058212058212059,0.8794178794178794,0.0,1.0,1964.5333333333333,480,60.4666666666667
